sms_id,timestamp,sender_id,receiver_id,language,is_scam,scam_type,scam_stage,requested_action,sensitive_info_requested,severity,message_text,has_url,has_upi,has_otp,has_qr,has_phone,has_threat,has_urgency
SMS0055,2025-04-19 09:44:37,+91-99499-91414,SENIOR_USER,English,1,Telecom/Utility / KYC Scam,Lure,Call number,,3,TRAI verification pending. Confirm details by calling +91-98728-31517.,0,0,0,0,1,0,0
SMS0045,2025-04-17 01:13:05,AX-JIOINF,SENIOR_USER,Hinglish,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,Address incomplete. Reschedule delivery: https://rebrand.ly/GdfOiZ6 Jaldi karo.,1,0,0,0,0,0,0
SMS0024,2025-10-09 05:09:51,DM-KOTAKB,SENIOR_USER,Hinglish,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,PhonePe Security: Malware detected. Install Remote Assist from https://cybercrime-case.in/rlgzusgnux for cleanup.,1,0,0,0,0,0,0
SMS0039,2025-05-31 17:52:45,+91-94773-44940,SENIOR_USER,English,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,Pre-approved loan ₹9900. Activate by paying processing ₹199 at https://tinyurl.com/eL2ZL5L,1,0,0,0,0,0,0
SMS0100,2025-11-06 23:24:25,AD-ICICIB,SENIOR_USER,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,"Hi, I’ll reach by 7:00 PM. See you soon.",0,0,0,0,0,0,0
SMS0017,2025-09-14 06:59:18,TM-KOTAKB,SENIOR_USER,Hinglish,1,Tech Support / Remote Access Scam,Lure,Click link,,3,Device warranty expiring today. Verify at Jaldi karo.,0,0,0,0,0,0,1
SMS0088,2025-06-21 15:21:52,+91-63040-35051,SENIOR_USER,Hinglish,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,URGENT: Jio password change hua. Agar aapne nahi kiya to reset: https://amazon.in/32tr8hd851,1,0,0,0,0,0,1
SMS0022,2025-04-16 22:44:18,VM-GPAYIN,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,Apple Security: Malware detected. Install QuickSupport from https://verify-now.co/nwfcot79ky for cleanup.,1,0,0,0,0,0,1
SMS0053,2025-05-17 22:46:23,+91-73914-88127,SENIOR_USER,Hinglish,1,Telecom/Utility / KYC Scam,Escalation/Threat,Click link,,4,BESCOM: Bill overdue ₹7500. Power cut in 2 hours. Pay at https://bit.ly/effIp1B Jaldi karo.,1,0,0,0,0,1,1
SMS0074,2025-10-06 02:28:01,DM-HDFCBK,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,"OLX: Buyer sent payment. To receive ₹50000, share OTP.",0,0,1,0,0,0,0
SMS0041,2025-12-12 16:19:02,+91-78452-85279,SENIOR_USER,English,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,Address incomplete. Reschedule delivery: https://t.co/8Kjuhfj,1,0,0,0,0,0,0
SMS0002,2025-11-10 03:19:51,BP-JIOINF,SENIOR_USER,Hinglish,1,Bank/KYC Fraud,Action request,Share ID docs,Aadhaar,4,KYC update required. Share PAN/Aadhaar photo on WhatsApp number +91-87823-43618. Jaldi karo.,0,0,0,0,1,0,0
SMS0010,2025-08-16 13:31:02,+91-99635-72107,SENIOR_USER,English,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,Prize release requires processing fee ₹99. Pay via UPI lkjxcu@ibl.,0,1,0,0,0,0,0
SMS0025,2025-07-28 12:17:28,JD-IRCTC,SENIOR_USER,English,1,Job Offer Scam,Action request,Share ID docs,Aadhaar,3,HR: Selected. Share Aadhaar/PAN for verification. WhatsApp +91-85788-12996,0,0,0,0,1,0,0
SMS0001,2025-09-01 20:38:38,AD-SBIINB,SENIOR_USER,English,1,Bank/KYC Fraud,Action request,Click link,OTP,4,"Dear customer, your card will be blocked today. Verify details at https://rebrand.ly/CqmeGMJ",1,0,0,0,0,0,1
SMS0030,2025-11-19 02:07:30,VM-ICICIB,SENIOR_USER,English,1,Job Offer Scam,Lure,Click link,,3,Earn ₹200000/day. Join VIP group using https://bit.ly/kOSwD7D,1,0,0,0,0,0,0
SMS0073,2025-09-27 20:43:25,AD-GPAYIN,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Click link,Bank credentials,3,Refund pending. Confirm bank details at https://gpay-help.in/9g1m143k0d,1,0,0,0,0,0,0
SMS0004,2025-05-03 15:36:39,AX-AIRTEL,SENIOR_USER,Hinglish,1,Bank/KYC Fraud,Action request,Click link,OTP,4,"Dear customer, your card will be blocked today. Verify details at https://cutt.ly/I7f8PVU",1,0,0,0,0,0,1
SMS0083,2025-09-28 19:37:19,+91-80209-70514,SENIOR_USER,Hinglish,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,BESCOM: Bill ₹100000 due 20-Dec. Official app ya https://airtel.in/eaqfvhb18n se pay karo.,1,0,0,0,0,0,0
SMS0033,2025-02-18 18:32:19,VM-AIRTEL,SENIOR_USER,Hinglish,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,Pre-approved loan ₹199. Activate by paying processing ₹499 at https://tinyurl.com/akCIjEl,1,0,0,0,0,0,0
SMS0095,2025-05-01 12:49:32,DM-AMAZON,SENIOR_USER,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,BESCOM: Bill of ₹5000 due on 15-Jun. Pay via official app or https://icicibank.com/shzssaj386,1,0,0,0,0,0,0
