audio_sample_id,timestamp,caller_id,receiver_id,language,is_scam,scam_type,scam_stage,requested_action,sensitive_info_requested,severity,audio_transcript_text,has_url,has_upi,has_otp,has_qr,has_phone,has_threat,has_urgency
AUD0055,2025-06-16 03:37:40,+91-68432-33855,SENIOR_USER,Hinglish,1,Telecom/Utility / KYC Scam,Escalation/Threat,Click link,,4,[Voicemail] TNEB bill overdue. Pay ₹200000 at https://rebrand.ly/uwfg9Ui to avoid disconnection. Jaldi.,1,0,0,0,0,0,0
AUD0048,2025-12-17 05:30:40,+91-98385-45068,SENIOR_USER,Hinglish,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,[Automated Voice] Blue Dart: Parcel held at customs. Pay clearance fee ₹49 at https://cutt.ly/eIxh7yR.,1,0,0,0,0,0,0
AUD0009,2025-07-28 05:21:30,+91-70917-09836,SENIOR_USER,English,1,Lottery/Prize Scam,Payment/Transfer,Pay via UPI,,4,[Automated Voice] Congratulations! Prize ₹999 in New Year Bonanza. Pay processing ₹999 to UPI wqfmth@ibl.,0,1,0,0,0,0,0
AUD0079,2025-09-22 18:54:47,+91-76999-35717,SENIOR_USER,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,[Voicemail] Buyer payment pending. Share OTP to receive ₹200000.,0,0,1,0,0,0,0
AUD0090,2025-06-30 23:54:57,+91-63624-75842,SENIOR_USER,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,[Voicemail] Airtel plan expires on 21-Nov. Renew in official app or https://axisbank.com/ghr5suvdr2.,1,0,0,0,0,0,0
AUD0017,2025-11-18 08:17:01,+91-60395-91905,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,[Automated Voice] Paytm support. Malware detected. Install AnyDesk from https://support-helpdesk.in/g98kxmu31r now.,1,0,0,0,0,0,1
AUD0100,2025-04-01 16:11:13,+91-64754-38166,SENIOR_USER,English,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,sir [Voicemail] Vi plan expires on 23-Mar. Renew in official app um ji or https://hdfcbank.com/5drmal7a11.,1,0,0,0,0,0,0
AUD0022,2025-11-11 03:36:15,+91-78537-13173,SENIOR_USER,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,[Automated Voice] Paytm support. Malware detected. Install Remote Assist from https://track-parcel.in/tijo5p4cr8 now.,1,0,0,0,0,0,1
AUD0053,2025-05-06 13:15:54,+91-91143-76125,SENIOR_USER,Hinglish,1,Telecom/Utility / KYC Scam,Action request,Click link,PAN,4,[Automated Voice] Your BSNL SIM will be deactivated today. Update KYC at https://bank-kycverify.com/xdgve463ox.,1,0,0,0,0,0,1
AUD0078,2025-06-16 14:33:50,+91-78196-76622,SENIOR_USER,Hinglish,1,Marketplace / Refund / UPI Scam,Action request,Click link,Bank credentials,3,[Automated Voice] Refund um of ₹200000 pending. Confirm your bank details at uh https://cybercrime-case.in/bjuzetwfqe. uh,1,0,0,0,0,0,0
