conversation_id,timestamp_start,platform,counterparty_contact,senior_contact,language,message_count,is_scam,scam_type,scam_stage,requested_action,sensitive_info_requested,severity,conversation_text,has_url,has_upi,has_otp,has_qr,has_phone,has_threat,has_urgency
WA0055,2025-11-25 06:33:34,WhatsApp,+91-83673-07360,SENIOR_USER,English,6,1,Telecom/Utility / KYC Scam,Action request,Click link,PAN,4,"Scammer: Jio: SIM deactivation today due to KYC pending.
Senior: But my SIM is active.
Scammer: System check. Update now.
Scammer: BWSSB: electricity bill overdue. Pay now to avoid disconnection: https://bit.ly/Yqbyhjc
Senior: Ok send link.
Scammer: Here: https://bank-kycverify.com/4g41ouuxs6. After update, share OTP.",1,0,1,0,0,0,1
WA0042,2025-02-11 04:39:21,WhatsApp,+91-73943-00165,SENIOR_USER,English,5,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,"Scammer: FedEx: Your parcel is held at customs. 🙏
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: Send tracking ID and I'll check on official site.
Scammer: Tracking YJSFF0. Pay ₹99 via https://cutt.ly/9uJfPlx now, else return.",1,0,0,0,0,0,1
WA0024,2025-08-14 21:10:26,WhatsApp,+91-85834-10787,SENIOR_USER,English,6,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,"Scammer: Microsoft Support: malware detected on your phone. 🙏
Senior: My phone is working fine.
Scammer: It will stop soon. Install Remote Assist so I can remove it.
Scammer: Download: https://track-parcel.in/osqoj9qe4s
Senior: Why should I install? Can't you guide me without an app?
Scammer: No. Without remote access we can't fix.",1,0,0,0,0,0,0
WA0039,2025-11-14 19:25:13,WhatsApp,+91-75451-58873,SENIOR_USER,Hinglish,6,1,Loan/Investment Scam,Payment/Transfer,Pay via UPI,,3,"Scammer: Pre-approved loan ₹200000 ready. No documents. 🙏
Senior: I did not apply.
Scammer: Special scheme. Activate by paying ₹999 fee.
Scammer: Pay at https://cutt.ly/caaadRL or UPI agkrtr@ibl.
Senior: I'll visit branch.
Scammer: Offer ends today. Online only.",1,1,0,0,0,0,1
WA0089,2025-12-21 03:31:55,WhatsApp,+91-75384-46091,SENIOR_USER,Hinglish,3,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,"Friend: Are we meeting at 6 PM?
Senior: Yes, see you at the park.
Friend: Great, I’ll be there.",0,0,0,0,0,0,0
WA0017,2025-03-25 17:10:28,WhatsApp,+91-76009-32511,SENIOR_USER,English,6,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,"Scammer: Apple Support: malware detected on your phone.
Senior: My phone is working fine.
Scammer: It will stop soon. Install Remote Assist so I can remove it.
Scammer: Download: https://pay-safe.link/e68qtsm5id
Senior: Ok, installed.
Scammer: Now share the 9-digit code shown on screen.",1,0,0,0,0,0,1
WA0092,2025-10-16 11:21:32,WhatsApp,+91-83035-09194,SENIOR_USER,English,2,0,Legitimate: Subscription/Receipt,No action (info only),No action (info only),,1,"Service: Your Netflix subscription renewed. Receipt: CWD3FB
Senior: Thanks.",0,0,0,0,0,0,0
WA0022,2025-09-17 16:09:27,WhatsApp,+91-72518-05465,SENIOR_USER,English,6,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,"Scammer: Microsoft Support: malware detected on your phone.
Senior: My phone is working fine.
Scammer: It will stop soon. Install AnyDesk so I can remove it.
Scammer: Download: https://verify-now.co/wbfb7nzal6
Senior: Why should I install? Can't you guide me without an app?
Scammer: No. Without remote access we can't fix.",1,0,0,0,0,0,1
WA0053,2025-12-05 00:35:04,WhatsApp,+91-86630-45710,SENIOR_USER,English,5,1,Telecom/Utility / KYC Scam,Action request,Share OTP,OTP,4,"Scammer: Vi: SIM deactivation today due to KYC pending. 🙏
Senior: But my SIM is active.
Scammer: System check. Update now.
Senior: I will use the official app.
Scammer: No time. Use https://customs-clearance.in/ip2y3gmnrj to update within 2 hours.",1,0,0,0,0,0,1
WA0074,2025-08-29 05:35:52,WhatsApp,+91-84254-59276,SENIOR_USER,English,6,1,Marketplace / Refund / UPI Scam,Action request,Scan QR / approve collect request,OTP,4,"Scammer: Facebook Marketplace buyer here. I'll pay ₹25000 now.
Senior: Ok.
Scammer: You will get an OTP—tell me to confirm payment.
Senior: OTP is for paying, not receiving.
Scammer: No sir, this is for receiving. Trust me.
Scammer: Also scan QR here: https://tinyurl.com/9wmiRox",1,0,1,1,0,0,1
WA0043,2025-11-09 20:54:08,WhatsApp,+91-93941-93344,SENIOR_USER,Hinglish,5,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,"Scammer: FedEx: Your parcel is held at customs. 🙏
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: Send tracking ID and I'll check on official site.
Scammer: Tracking EOVPXZ. Pay ₹49 via https://rebrand.ly/qz5F5jw now, else return.",1,0,0,0,0,0,1
WA0006,2025-11-07 01:46:00,WhatsApp,+91-83293-55564,SENIOR_USER,English,5,1,Bank/KYC Fraud,Action request,Click link,OTP,5,"Scammer: Hello, Canara KYC desk here. Your account will freeze today.
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: Ok what should I do?
Scammer: Share OTP and PAN photo. Or verify at https://customs-clearance.in/cjdfmsxbly.",1,0,1,0,0,1,1
WA0010,2025-08-05 02:46:45,WhatsApp,+91-79598-95687,SENIOR_USER,English,4,1,Lottery/Prize Scam,Lure,Pay via UPI,,4,"Scammer: Congratulations! You won ₹50000 in New Year Bonanza! 🙏
Senior: I never participated.
Scammer: Auto-selected from mobile number.
Scammer: To claim, pay ₹199 processing fee to UPI ahuuua@okhdfc.",0,1,0,0,0,0,0
WA0030,2025-04-05 22:59:58,WhatsApp,+91-94920-73586,SENIOR_USER,English,5,1,Job Offer Scam,Lure,Click link,,3,"Scammer: HR: Part-time work-from-home job available. 🙏
Senior: I'm retired.
Scammer: Easy task. Earn ₹999/day. Register at https://rebrand.ly/scllBiW.
Senior: No fees, right?
Scammer: Small refundable fee ₹499 for ID verification.",1,0,0,0,0,0,0
WA0008,2025-06-11 00:27:57,WhatsApp,+91-92034-34739,SENIOR_USER,English,6,1,Bank/KYC Fraud,Action request,Share OTP,OTP,5,"Scammer: Hello, Axis KYC desk here. Your account will freeze today.
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: I will call the bank from the number on my passbook.
Scammer: No ma'am, transaction is in process. If delayed, money will be lost.
Scammer: Share OTP now or open https://t.co/tgaY9MX to stop it.",1,0,1,0,0,1,1
WA0028,2025-08-05 13:48:12,WhatsApp,+91-68986-14239,SENIOR_USER,Hinglish,5,1,Job Offer Scam,Lure,Share ID docs,,3,"Scammer: HR: Part-time work-from-home job available.
Senior: I'm retired.
Scammer: Easy task. Earn ₹1500/day. Register at https://tinyurl.com/K6l36nM.
Senior: Ok.
Scammer: Pay ₹999 to UPI ohucgl@ibl.",1,1,0,0,0,0,0
WA0073,2025-05-18 19:34:29,WhatsApp,+91-61342-91771,SENIOR_USER,English,6,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,"Scammer: Quikr buyer here. I'll pay ₹200000 now.
Senior: Ok.
Scammer: You will get an OTP—tell me to confirm payment.
Senior: OTP is for paying, not receiving.
Scammer: No sir, this is for receiving. Trust me.
Scammer: Also scan QR here: https://t.co/eGF7ou7",1,0,1,1,0,0,1
WA0001,2025-03-13 06:06:56,WhatsApp,+91-76348-56088,SENIOR_USER,English,6,1,Bank/KYC Fraud,Action request,Share ID docs,OTP,5,"Scammer: Hello, PNB KYC desk here. Your account will freeze today.
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: I will call the bank from the number on my passbook.
Scammer: No ma'am, transaction is in process. If delayed, money will be lost.
Scammer: Share OTP now or open https://cutt.ly/b7TyhuQ to stop it.",1,0,1,0,0,1,1
WA0085,2025-07-24 19:48:23,WhatsApp,+91-75524-17672,SENIOR_USER,English,2,0,Legitimate: Subscription/Receipt,No action (info only),No action (info only),,1,"Service: Your Airtel subscription renewed. Receipt: 22L1E4
Senior: Thanks.",0,0,0,0,0,0,0
WA0033,2025-09-16 00:26:24,WhatsApp,+91-62577-08153,SENIOR_USER,English,4,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,"Scammer: Pre-approved loan ₹5000 ready. No documents. 🙏
Senior: I did not apply.
Scammer: Special scheme. Activate by paying ₹49 fee.
Scammer: Pay at https://cutt.ly/wwLrYd2 or UPI ueqpzp@ibl.",1,1,0,0,0,0,0
WA0094,2025-07-26 02:40:14,WhatsApp,+91-68080-66029,SENIOR_USER,English,2,0,Legitimate: Subscription/Receipt,No action (info only),No action (info only),,1,"Service: Your Google Pay subscription renewed. Receipt: XR4K61
Senior: Thanks.",0,0,0,0,0,0,0
WA0015,2025-06-20 03:51:01,WhatsApp,+91-88487-55764,SENIOR_USER,English,6,1,Lottery/Prize Scam,Lure,Call number,,4,"Scammer: Congratulations! You won ₹2500 in New Year Bonanza!
Senior: I never participated.
Scammer: Auto-selected from mobile number.
Scammer: To claim, pay ₹149 processing fee to UPI vtdylt@okhdfc.
Senior: Sounds fake. Send official website link.
Scammer: Ok check https://bit.ly/y4aLmBP. Hurry, expires today.",1,1,0,0,0,0,1
WA0096,2025-04-17 05:12:24,WhatsApp,+91-81952-88932,SENIOR_USER,English,3,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,"Friend: Are we meeting at 6 PM?
Senior: Yes, see you at the park.
Friend: Great, I’ll be there.",0,0,0,0,0,0,0
WA0021,2025-07-10 18:27:22,WhatsApp,+91-97139-87504,SENIOR_USER,English,6,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,"Scammer: Microsoft Support: malware detected on your phone.
Senior: My phone is working fine.
Scammer: It will stop soon. Install QuickSupport so I can remove it.
Scammer: Download: https://gpay-help.in/apk33dvosd
Senior: Why should I install? Can't you guide me without an app?
Scammer: No. Without remote access we can't fix.",1,0,0,0,0,0,0
WA0026,2025-02-27 18:37:54,WhatsApp,+91-76347-29571,SENIOR_USER,English,5,1,Job Offer Scam,Lure,Share ID docs,,3,"Scammer: HR: Part-time work-from-home job available.
Senior: I'm retired.
Scammer: Easy task. Earn ₹2500/day. Register at https://tinyurl.com/gzlwnlM.
Senior: No fees, right?
Scammer: Small refundable fee ₹999 for ID verification.",1,0,0,0,0,0,0
